product_id,category,ring_name,center_carat_weight,your_price_usd,compare_at_usd_optional,photo_folder_optional
D027,Engagement Rings,Lab Grown Diamond Princess Comfort Fit Engagement Ring,1.5,,,
D027,Engagement Rings,Lab Grown Diamond Princess Comfort Fit Engagement Ring,2,,,
D027,Engagement Rings,Lab Grown Diamond Princess Comfort Fit Engagement Ring,3,,,
D028,Engagement Rings,Lab Grown Diamond Princess Petite Pave Engagement Ring,1,,,
D028,Engagement Rings,Lab Grown Diamond Princess Petite Pave Engagement Ring,1.5,,,
D028,Engagement Rings,Lab Grown Diamond Princess Petite Pave Engagement Ring,2,,,
D028,Engagement Rings,Lab Grown Diamond Princess Petite Pave Engagement Ring,3,,,
D029,Engagement Rings,Lab Grown Diamond Princess Twisted Engagement Ring,1,,,
D029,Engagement Rings,Lab Grown Diamond Princess Twisted Engagement Ring,1.5,,,
D029,Engagement Rings,Lab Grown Diamond Princess Twisted Engagement Ring,2,,,
D029,Engagement Rings,Lab Grown Diamond Princess Twisted Engagement Ring,3,,,
D031,Engagement Rings,Lab Grown Diamond Round Comfort Fit Engagement Ring,1,,,
D031,Engagement Rings,Lab Grown Diamond Round Comfort Fit Engagement Ring,1.5,,,
D031,Engagement Rings,Lab Grown Diamond Round Comfort Fit Engagement Ring,2,,,
D031,Engagement Rings,Lab Grown Diamond Round Comfort Fit Engagement Ring,3,,,
D020,Engagement Rings,Lab Grown Diamond Round Pave Cathedral Engagement Ring,1,,,
D020,Engagement Rings,Lab Grown Diamond Round Pave Cathedral Engagement Ring,1.5,,,
D020,Engagement Rings,Lab Grown Diamond Round Pave Cathedral Engagement Ring,2,,,
D020,Engagement Rings,Lab Grown Diamond Round Pave Cathedral Engagement Ring,3,,,
D034,Engagement Rings,Lab Grown Diamond Round Twisted Engagement Ring,1,,,
D034,Engagement Rings,Lab Grown Diamond Round Twisted Engagement Ring,1.5,,,
D034,Engagement Rings,Lab Grown Diamond Round Twisted Engagement Ring,2,,,
D034,Engagement Rings,Lab Grown Diamond Round Twisted Engagement Ring,3,,,
D023,Rings,14K Gold Lab Grown Diamond Alternating Baguette & Round Band,1,,,
D023,Rings,14K Gold Lab Grown Diamond Alternating Baguette & Round Band,1.5,,,
D023,Rings,14K Gold Lab Grown Diamond Alternating Baguette & Round Band,2,,,
D023,Rings,14K Gold Lab Grown Diamond Alternating Baguette & Round Band,3,,,
D021,Rings,14K Gold Lab Grown Diamond Pave Eternity Band,1,,,
D021,Rings,14K Gold Lab Grown Diamond Pave Eternity Band,1.5,,,
D021,Rings,14K Gold Lab Grown Diamond Pave Eternity Band,2,,,
D021,Rings,14K Gold Lab Grown Diamond Pave Eternity Band,3,,,
D024,Rings,Lab Grown Diamond Five Stone Band,1,,,
D024,Rings,Lab Grown Diamond Five Stone Band,1.5,,,
D024,Rings,Lab Grown Diamond Five Stone Band,2,,,
D024,Rings,Lab Grown Diamond Five Stone Band,3,,,
D032,Rings,Lab Grown Diamond Round Eternity Band,1,,,
D032,Rings,Lab Grown Diamond Round Eternity Band,1.5,,,
D032,Rings,Lab Grown Diamond Round Eternity Band,2,,,
D032,Rings,Lab Grown Diamond Round Eternity Band,3,,,
D035,Rings,Lab Grown Diamond Single Shared Prong Halfway Band,1,,,
D035,Rings,Lab Grown Diamond Single Shared Prong Halfway Band,1.5,,,
D035,Rings,Lab Grown Diamond Single Shared Prong Halfway Band,2,,,
D035,Rings,Lab Grown Diamond Single Shared Prong Halfway Band,3,,,
